name,rating,about,cuisines,preferences,features,entitas_lokasi,entitas_jenis_makanan,entitas_menu,entitas_preferensi,entitas_features
Gili Frame,4.5,"gili frame is food and rest area, 0 Km between sunrise to sunset at the same time a new icon for the king and queen selfie photo getaway located in gili trawanagan","['Asian', 'Indonesian']","['tasty food', 'friendly service', 'trawangan']","['Free Wifi', 'Full Bar', 'Outdoor Seating', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout', 'Wheelchair Accessible']",Pemenang,['Asian'],[],"['tasty food', 'friendly service', 'trawangan']","['Free Wifi', 'Full Bar', 'Outdoor Seating', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout', 'Wheelchair Accessible']"
Natys 2 Restaurant Gili Trawangan,4.0,Natys 2 Gili Trawangan is located on the beach in a strategic area of Gili Trawangan. Serves the best grill and other favorite dishes in the island. It was built with a joglo and has view to the exotic Gili Trawangan's white sand and Lombok island in distance which will make you will be very comfortable for long sitting while enjoying our best selection menus.,"['Bar', 'Seafood', 'Grill', 'Fusion', 'Indonesian']","['prawns', 'gili']","['Free Wifi', 'Full Bar', 'Outdoor Seating', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service']",Gili Trawangan,['Asian'],"['Seafood', 'Grill']","['prawns', 'gili']","['Free Wifi', 'Full Bar', 'Outdoor Seating', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service']"
Gogo's Shakes,5.0,"Gogo's Shakes is a local juice bar. Come and try our creations like the famous Coconut Frappucino, the Gili to Gogo or just the classic Mango Shake. All our shakes are made on the spot with fresh local fruits, ice and love. Our cups are 100% recyclables and with every shakes comes a bamboo straw.","['Bar', 'Street Food']",[],['Street Parking'],Pemenang,['Other'],[],[],['Street Parking']
Tasty Hesty Cafe,5.0,The legendary Tasty Hesty Cafe has been renovated and is better than ever! Come join us and enjoy: - Kuta's only topfloor beach view - Mama and aunty's traditional cuisine - Live accoustic tunes - Most hilarious games in town We'll have loads of fun and you'll make new friends guaranteed! Welcome to THC! Get high please :) Best View ♥♥♥ Food ♥♥♥ Vibes ♥♥♥ Fun at Kuta Paradise,"['Seafood', 'Asian', 'Indonesian']",[],"['Cash Only', 'Full Bar', 'Outdoor Seating', 'Parking Available', 'Reservations', 'Seating', 'Serves Alcohol', 'Street Parking']",Kuta,['Asian'],['Seafood'],[],"['Cash Only', 'Full Bar', 'Outdoor Seating', 'Parking Available', 'Reservations', 'Seating', 'Serves Alcohol', 'Street Parking']"
Taliwang Irama,4.0,Authentic 'Ayam Taliwang' Cuisine,"['Asian', 'Indonesian']",[],"['Outdoor Seating', 'Parking Available', 'Reservations', 'Seating', 'Table Service', 'Takeout']",Mataram,['Asian'],[],[],"['Outdoor Seating', 'Parking Available', 'Reservations', 'Seating', 'Table Service', 'Takeout']"
Senja Restaurant,4.5,"Located on Senggigi Beach, Senja Restaurant brings together the best of Indonesian and Pan-Asian flavors. Dine in our semi-outdoor dining area or alfresco by the ocean, and take in the incredible views along with our signature dishes and beverages. Highlighting your culinary experience in the island, our Lombok Culinary Journey dishes are also sure to captivate. Reserve a table and celebrate your day as we serve you for lunch and dinner. As the day comes to its end, treat yourself to our light bites and sip our creative concoctions to complete your whole seaside experience in Senggigi.",['Indonesian'],['delicious food'],"['Accepts Credit Cards', 'American Express', 'Beach', 'Free Wifi', 'Full Bar', 'Highchairs Available', 'Mastercard', 'Outdoor Seating', 'Parking Available', 'Reservations', 'Serves Alcohol', 'Table Service', 'Visa', 'Wine and Beer']",Senggigi,['Asian'],[],['delicious food'],"['Accepts Credit Cards', 'American Express', 'Beach', 'Free Wifi', 'Full Bar', 'Highchairs Available', 'Mastercard', 'Outdoor Seating', 'Parking Available', 'Reservations', 'Serves Alcohol', 'Table Service', 'Visa', 'Wine and Beer']"
Le Bistro,4.0,"Closed until March 2019 for Renovation

Le Bistro is a french fusion food restaurant located on the beach, facing the mount Rinjani. Owned by french friends, the head chef is also French. We get our inspiration from various countries and accomodate them with the local style. We are specialized in fresh raw tuna. The Tuna Tartare, Tuna Ceviche and Tuna Tataki are our signature dishes. We also propose grilled fish fillet, meats, burgers, and a wide range of imported wine. We use only fresh ingredients and we rinse the vegetables with drinkable water, so you can go for salads as well. All the breads we use for our sandwiches and burgers are home-made We have great barmen to do good cocktails and last but not least, awesome chocolate brownies and gelato to finish your meal. All the team will do his best to host you and provide you the best possible service, but please, don't forget that you are on holidays, on a small remote island with a different culture and education, and a different relation to the time. Enjoy that ;)","['International', 'Fusion', 'Indonesian']",[],"['Accepts Credit Cards', 'Digital Payments', 'Free Wifi', 'Full Bar', 'Mastercard', 'Outdoor Seating', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout', 'Visa', 'Wheelchair Accessible', 'Wine and Beer']",Pemenang,['Asian'],[],[],"['Accepts Credit Cards', 'Digital Payments', 'Free Wifi', 'Full Bar', 'Mastercard', 'Outdoor Seating', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout', 'Visa', 'Wheelchair Accessible', 'Wine and Beer']"
Gili Teak Resort Restaurant,5.0,"We offer a stunning beach front location with amzing views over Mt Agung Bali. Come and enjoy good food in a beautiful location. We offer Breakfast, Lunch and Dinner that can be enjoyed in our Restaurant, around the Pool or on the Beach overlooking the sea.","['International', 'Asian', 'Fusion', 'Indonesian']","['fajitas', 'beef rendang', 'yellow curry', 'mie goreng', 'cobb salad', 'tapas', 'pizza', 'coconut chicken', 'prawns', 'fries', 'great food', 'gili t', 'watch the sunset', 'amazing place', 'great dinner', 'our waiter', 'sunset view', 'ate here', 'nice atmosphere', 'perfect spot']","['Free Wifi', 'Full Bar', 'Outdoor Seating', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service']",Gili Trawangan,['Asian'],[],"['fajitas', 'beef rendang', 'yellow curry', 'mie goreng', 'cobb salad', 'tapas', 'pizza', 'coconut chicken', 'prawns', 'fries', 'great food', 'gili t', 'watch the sunset', 'amazing place', 'great dinner', 'our waiter', 'sunset view', 'ate here', 'nice atmosphere', 'perfect spot']","['Free Wifi', 'Full Bar', 'Outdoor Seating', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service']"
Nuff Said Warung,4.5,Outdoor Seating,"['Seafood', 'Asian', 'Indonesian']","['seafood', 'beach', 'barracuda', 'beers']","['Outdoor Seating', 'Parking Available', 'Seating', 'Serves Alcohol', 'Table Service', 'Waterfront']",Lombok,['Asian'],['Seafood'],"['seafood', 'beach', 'barracuda', 'beers']","['Outdoor Seating', 'Parking Available', 'Seating', 'Serves Alcohol', 'Table Service', 'Waterfront']"
Natys Restaurant,4.0,Free Wifi,"['Bar', 'Seafood', 'Barbecue', 'Indonesian']","['seafood', 'beef', 'sea view', 'recommend this restaurant', 'island']","['Free Wifi', 'Full Bar', 'Highchairs Available', 'Outdoor Seating', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service']",Gili Trawangan,"['Asian', 'Western']","['Seafood', 'Barbecue']","['seafood', 'beef', 'sea view', 'recommend this restaurant', 'island']","['Free Wifi', 'Full Bar', 'Highchairs Available', 'Outdoor Seating', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service']"
Diana Cafe,4.0,Full Bar,"['Bar', 'Asian', 'Indonesian']","['mango juice', 'watching the sunset', 'beautiful spot', 'beach', 'indonesia', 'cat']","['Full Bar', 'Live Music', 'Outdoor Seating', 'Seating', 'Serves Alcohol', 'Table Service']",Pemenang,['Asian'],[],"['mango juice', 'watching the sunset', 'beautiful spot', 'beach', 'indonesia', 'cat']","['Full Bar', 'Live Music', 'Outdoor Seating', 'Seating', 'Serves Alcohol', 'Table Service']"
Molly's Bar and Grill,4.5,"Molly's is roughly 5 minutes north of Senggigi,situated directly across the road from Quinci Villas,a popular resort in the village of Mangsit. There are several resorts within walking distance of Molly's Bar and Grill including Puri Mas,The Alang Alang,Holiday Resort Lombok and several others. Molly's is a family operated business specializing in BBQ ,Seafood and Indonesian dishes. Molly's has large screen TV's for sports viewing and hosts a friendly bar for cold drinks, snacks and music. A dart board also adds flavor to this warm and welcoming venue. For sports enthusiasts from around the globe Molly's staff will always endeavor to find your game. For deep sea fishing,snorkeling and ocean exploring, Molly's Bar and Grill hosts the Lombok Fish and Game from Medana Bay Marina and activities can be organized directly at the Restaurant.","['Bar', 'Barbecue', 'Indonesian']","['pizza', 'ribs', 'steak', 'apple strudel', 'spring rolls', 'tempura', 'juice', 'qunci villas', 'amazing food', 'indonesian food', 'bali lombok', 'mollys', 'beers', 'hotel', 'chips', 'warung', 'chill']","['Free Wifi', 'Full Bar', 'Outdoor Seating', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout', 'Television']",Senggigi,"['Asian', 'Western']",['Barbecue'],"['pizza', 'ribs', 'steak', 'apple strudel', 'spring rolls', 'tempura', 'juice', 'qunci villas', 'amazing food', 'indonesian food', 'bali lombok', 'mollys', 'beers', 'hotel', 'chips', 'warung', 'chill']","['Free Wifi', 'Full Bar', 'Outdoor Seating', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout', 'Television']"
Begibung Cafe,4.5,Highchairs Available,"['Asian', 'Indonesian']",[],"['Highchairs Available', 'Reservations', 'Seating', 'Table Service', 'Takeout', 'Wheelchair Accessible']",Mataram,['Asian'],[],[],"['Highchairs Available', 'Reservations', 'Seating', 'Table Service', 'Takeout', 'Wheelchair Accessible']"
Happy Cafe,4.0,Accepts Credit Cards,"['Bar', 'Asian', 'Pub', 'Indonesian']","['great band', 'a great place to spend', 'senggigi']","['Accepts Credit Cards', 'Free Wifi', 'Full Bar', 'Live Music', 'Outdoor Seating', 'Parking Available', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Television', 'Wheelchair Accessible']",Senggigi,['Asian'],[],"['great band', 'a great place to spend', 'senggigi']","['Accepts Credit Cards', 'Free Wifi', 'Full Bar', 'Live Music', 'Outdoor Seating', 'Parking Available', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Television', 'Wheelchair Accessible']"
The Mexican in Town,4.0,Traditional cooked Mexican food served in a street food enviroment. You can see your food being cooked before you under high hygene standards. Your food is usually served in under 10 minutes. Como hang out with us and immerse in the flavours of latin america.,"['Mexican', 'Street Food', 'Central American']","['tuna tostada', 'lombok']","['Outdoor Seating', 'Parking Available', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout']",Kuta,['Other'],[],"['tuna tostada', 'lombok']","['Outdoor Seating', 'Parking Available', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout']"
Serene Sunset,4.5,"SERENE SUNSET BEACH is located on the beautiful sunset-side of the island, perfect for relaxing beach days and beautiful sunsets! Our big passion is to take care of our Environment, Mother Nature. This is way we banned Plastic and Cans totally from our Menu! We offer you always fresh ingredients and always made with lots of love! On the Menu you find our famous, refreshing Mojito's, fresh Organic Juices, tropical Fruits and of course not to forget our homemade Pizza and Pasta! SERENE SUNSET is our home which we work hard with our hearts to make it as enjoyable and comfortable as possible - and we love to share our little piece of heaven with you! Feel Home and safe with us, if you have any special request or concern, there will always be someone to help you! Again, we are on a little tiny Island in the middle of nowhere with limited access to actually everything, so lets just chill, relax and appreciate life more together:) We're looking forward to have you in Serene Sunset!","['Italian', 'Bar']","['gili t', 'hammocks', 'island', 'beanbags']","['Accepts Credit Cards', 'Cash Only', 'Family style', 'Free off-street parking', 'Free Wifi', 'Full Bar', 'Highchairs Available', 'Parking Available', 'Playgrounds', 'Reservations', 'Seating', 'Serves Alcohol', 'Takeout', 'Waterfront', 'Wheelchair Accessible', 'Wine and Beer']",Pemenang,['Western'],[],"['gili t', 'hammocks', 'island', 'beanbags']","['Accepts Credit Cards', 'Cash Only', 'Family style', 'Free off-street parking', 'Free Wifi', 'Full Bar', 'Highchairs Available', 'Parking Available', 'Playgrounds', 'Reservations', 'Seating', 'Serves Alcohol', 'Takeout', 'Waterfront', 'Wheelchair Accessible', 'Wine and Beer']"
