name,rating,about,cuisines,preferences,features,entitas_lokasi,entitas_jenis_makanan,entitas_menu,entitas_preferensi,entitas_features
Ana Warung,4.0,Accepts Credit Cards,"['Seafood', 'Asian', 'Indonesian']","['juice', 'fresh seafood', 'nice view', 'stopped for lunch', 'gili', 'beach', 'island']","['Accepts Credit Cards', 'Free Wifi', 'Full Bar', 'Outdoor Seating', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Waterfront']",Gili Meno,['Asian'],['Seafood'],"['juice', 'fresh seafood', 'nice view', 'stopped for lunch', 'gili', 'beach', 'island']","['Accepts Credit Cards', 'Free Wifi', 'Full Bar', 'Outdoor Seating', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Waterfront']"
Adeng Adeng Restaurant,4.0,Dine privately on your own little island surrounded by water and lush greenery. We are famous for our Thai food and our sweet spring rolls. Our chefs are local with international training and will serve you delicious food from morning to evening.Open from 8.00 – 21.30 every day,"['Seafood', 'European', 'Fusion', 'Indonesian']","['pizza', 'juice', 'nice service', 'gili', 'island', 'beach', 'cocktails']","['Free Wifi', 'Full Bar', 'Outdoor Seating', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Waterfront']",Gili Meno,"['Asian', 'Western']",['Seafood'],"['pizza', 'juice', 'nice service', 'gili', 'island', 'beach', 'cocktails']","['Free Wifi', 'Full Bar', 'Outdoor Seating', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Waterfront']"
Istanbul Kebab 2,4.0,"Turkish kebabs healthy delicious fresh and open 24 hours.Turkish cuisine: The Turkish cuisine left over from the Ottoman culture influenced the cuisine of the Balkans and the Middle East and was influenced by these cuisines. Most of the meat dishes in Turkish cuisine are in kebabs, köfte and juicy meat dishes. Kebabs are usually found in restaurants and prepared by grilling method. Among the kebabs döner kebap is among the most held kebabs. Adana Kebab, Iskender Kebab and Ribs are also very common.","['Fast Food', 'Turkish', 'Grill', 'Diner', 'Healthy', 'Middle Eastern']","['chicken kebab', 'french fries', 'gili t', 'island']","['Cash Only', 'Outdoor Seating', 'Seating', 'Street Parking', 'Table Service', 'Takeout', 'Television', 'Wheelchair Accessible']",Pemenang,['Other'],['Grill'],"['chicken kebab', 'french fries', 'gili t', 'island']","['Cash Only', 'Outdoor Seating', 'Seating', 'Street Parking', 'Table Service', 'Takeout', 'Television', 'Wheelchair Accessible']"
Pesona Lounge Trawangan,4.5,"Come for vibrant Indian and vegetarian-friendly international cuisine and stay for the good vibes and sheesha lounge! Specialist chefs prepare our food using imported spices to delight your taste buds. Colorful dishes are all cooked specially to order with your personal preferences in mind- do you prefer spicy or mild? Pesona Lounge Trawangan is the original place on the island where you can indulge in exotic sheesha and chill out with friends as you enjoy expertly prepared cocktails, look at the stars, and delight in the charm of Gili Trawangan.","['Indian', 'Fusion', 'Healthy']","['garlic naan', 'curry', 'tacos', 'gili t', 'indian food', 'our waiter', 'amazing food', 'service was excellent', 'great atmosphere', 'lots of vegetarian options', 'shisha', 'chill', 'island', 'putra', 'beach', 'bali', 'yum']","['Accepts Credit Cards', 'Beach', 'Free off-street parking', 'Free Wifi', 'Full Bar', 'Gift Cards Available', 'Highchairs Available', 'Mastercard', 'Outdoor Seating', 'Parking Available', 'Reservations', 'Seating', 'Serves Alcohol', 'Sports bars', 'Street Parking', 'Table Service', 'Takeout', 'Television', 'Visa', 'Waterfront', 'Wine and Beer']",Pemenang,['Other'],[],"['garlic naan', 'curry', 'tacos', 'gili t', 'indian food', 'our waiter', 'amazing food', 'service was excellent', 'great atmosphere', 'lots of vegetarian options', 'shisha', 'chill', 'island', 'putra', 'beach', 'bali', 'yum']","['Accepts Credit Cards', 'Beach', 'Free off-street parking', 'Free Wifi', 'Full Bar', 'Gift Cards Available', 'Highchairs Available', 'Mastercard', 'Outdoor Seating', 'Parking Available', 'Reservations', 'Seating', 'Serves Alcohol', 'Sports bars', 'Street Parking', 'Table Service', 'Takeout', 'Television', 'Visa', 'Waterfront', 'Wine and Beer']"
HonkyTonks Blues Bar and Grill,4.5,A bar restaurant with a charcoal grill and extensive bar. Kitchen is able to cater to many needs and special dietary requirements including vegan and vegetarian. Live Bands on Friday and Saturday.,"['International', 'Asian', 'Indonesian']",[],"['Cash Only', 'Delivery', 'Free off-street parking', 'Free Wifi', 'Full Bar', 'Live Music', 'Parking Available', 'Reservations', 'Seating', 'Serves Alcohol', 'Street Parking', 'Takeout', 'Television', 'Wheelchair Accessible', 'Wine and Beer']",Lombok,['Asian'],[],[],"['Cash Only', 'Delivery', 'Free off-street parking', 'Free Wifi', 'Full Bar', 'Live Music', 'Parking Available', 'Reservations', 'Seating', 'Serves Alcohol', 'Street Parking', 'Takeout', 'Television', 'Wheelchair Accessible', 'Wine and Beer']"
Sasak Cafe,4.0,"Sasak Cafe is part of Sasakisland Bungalows & Cafe - a family enterprise. We are known throughout the island for our welcoming hospitality and our excellent fare, ranging from traditional Sasak food to international cuisine. W ecatch fresh fish and calamari daily and are happy to take our guests along on our fishing trips. Sasak Cafe is situated directly on the beach. Best place for sunset on the island. In the evening entertainment is provided with our Band Sasak Island Family & Friends. You can book us also for weddings or celebrations in other places.","['Bar', 'International', 'Asian', 'Pub', 'Indonesian']","['live music', 'ate here', 'island', 'band']","['Accepts Credit Cards', 'Delivery', 'Family style', 'Free Wifi', 'Full Bar', 'Live Music', 'Mastercard', 'Outdoor Seating', 'Parking Available', 'Seating', 'Serves Alcohol', 'Table Service', 'Waterfront', 'Wine and Beer']",Pemenang,['Asian'],[],"['live music', 'ate here', 'island', 'band']","['Accepts Credit Cards', 'Delivery', 'Family style', 'Free Wifi', 'Full Bar', 'Live Music', 'Mastercard', 'Outdoor Seating', 'Parking Available', 'Seating', 'Serves Alcohol', 'Table Service', 'Waterfront', 'Wine and Beer']"
Gula Gila - Kebun,4.5,"1st of its kind in Lombok, Gula Gila is the brainchild of Kebun Villas & Resort. With an eclectic mash of the colonial & modern for design influences and the needs of a traveller & a convenience store for services, Gula Gila breaks into the cafe industry with a new category : 'Cafe Bodega', offering respite for the travel-weary in light bites, specialty coffee & travel necessities.","['Cafe', 'Deli']",[],"['Accepts Credit Cards', 'Cash Only', 'Free Wifi', 'Mastercard', 'Seating', 'Table Service', 'Takeout', 'Visa', 'Wine and Beer']",Senggigi,['Western'],[],[],"['Accepts Credit Cards', 'Cash Only', 'Free Wifi', 'Mastercard', 'Seating', 'Table Service', 'Takeout', 'Visa', 'Wine and Beer']"
Perla Nera,4.5,New reopening July 2019 Big open air garden in the heart of Gili Air Island. Serving homemade Italian fresh pasta and delicious burgers.,"['Italian', 'Grill', 'Healthy']",[],"['Free Wifi', 'Outdoor Seating', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout', 'Wheelchair Accessible', 'Wine and Beer']",Pemenang,['Western'],['Grill'],[],"['Free Wifi', 'Outdoor Seating', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout', 'Wheelchair Accessible', 'Wine and Beer']"
Nautilus Restaurant,4.5,Located right on the beach with the sea breeze carrying the scents of our kitchen through the air Nautilus restaurant offers you a seafood-based menu with an Italian twist. At Nautilus we combine seasonal ingredients sourced at local markets and from our garden with imported goods to make your culinary experience an unforgettable one.,"['Italian', 'Mediterranean', 'European', 'Asian', 'Indonesian']","['pizza', 'beach']","['Full Bar', 'Mastercard', 'Outdoor Seating', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Visa', 'Wine and Beer']",Lombok,"['Asian', 'Western']",[],"['pizza', 'beach']","['Full Bar', 'Mastercard', 'Outdoor Seating', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Visa', 'Wine and Beer']"
Meru Restaurant,4.5,"Located right on the beach and facing Bali's majestic volcano Gunung Agung, the MERU restaurant offers a complete range of dishes for every taste. Chef I Gede Sudana understand to create healthy, tasty and unforgettable food. His style of cooking could be described as Western-Asian fusion with an Mediterranean Twist. He gathered his knowledge in fine dining restaurants in Bali, such as THE CHEDI or MOZAIC but also in hospitality such as OBEROI and SUDAMALA SUIT AND VILLAS. Enjoy culinary consultancy from our chef and restaurant team to arrange your customized romantic dinner or birthday feast.","['International', 'Asian', 'Indonesian']",[],"['Accepts Credit Cards', 'Beach', 'Free off-street parking', 'Free Wifi', 'Full Bar', 'Highchairs Available', 'Mastercard', 'Outdoor Seating', 'Parking Available', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout', 'Visa', 'Waterfront', 'Wheelchair Accessible', 'Wine and Beer']",Senggigi,['Asian'],[],[],"['Accepts Credit Cards', 'Beach', 'Free off-street parking', 'Free Wifi', 'Full Bar', 'Highchairs Available', 'Mastercard', 'Outdoor Seating', 'Parking Available', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout', 'Visa', 'Waterfront', 'Wheelchair Accessible', 'Wine and Beer']"
Roemah Langko by Putera Lombok,4.5,Accepts Credit Cards,['Indonesian'],[],"['Accepts Credit Cards', 'Free Wifi', 'Parking Available', 'Private Dining', 'Reservations', 'Seating', 'Table Service', 'Takeout', 'Wheelchair Accessible']",Mataram,['Asian'],[],[],"['Accepts Credit Cards', 'Free Wifi', 'Parking Available', 'Private Dining', 'Reservations', 'Seating', 'Table Service', 'Takeout', 'Wheelchair Accessible']"
Garden Restaurant,3.5,Accepts Credit Cards,"['International', 'Asian', 'Indonesian']","['nice food', 'taman', 'lombok']","['Accepts Credit Cards', 'BYOB', 'Digital Payments', 'Dog Friendly', 'Family style', 'Free off-street parking', 'Free Wifi', 'Full Bar', 'Live Music', 'Mastercard', 'Outdoor Seating', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout', 'Visa', 'Wheelchair Accessible']",Lombok,['Asian'],[],"['nice food', 'taman', 'lombok']","['Accepts Credit Cards', 'BYOB', 'Digital Payments', 'Dog Friendly', 'Family style', 'Free off-street parking', 'Free Wifi', 'Full Bar', 'Live Music', 'Mastercard', 'Outdoor Seating', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout', 'Visa', 'Wheelchair Accessible']"
Sate Rembiga Ibu Sinnaseh,4.5,Delivery,"['Asian', 'Indonesian']","['satay', 'soup', 'sotong', 'lombok', 'taste']","['Delivery', 'Parking Available', 'Private Dining', 'Seating', 'Takeout']",Mataram,['Asian'],[],"['satay', 'soup', 'sotong', 'lombok', 'taste']","['Delivery', 'Parking Available', 'Private Dining', 'Seating', 'Takeout']"
Sonya,4.5,Outdoor Seating,['Grill'],"['rice', 'local experience', 'grilled to perfection', 'delicious seafood']","['Outdoor Seating', 'Seating', 'Serves Alcohol', 'Street Parking', 'Table Service', 'Wheelchair Accessible']",Kuta,['Other'],['Grill'],"['rice', 'local experience', 'grilled to perfection', 'delicious seafood']","['Outdoor Seating', 'Seating', 'Serves Alcohol', 'Street Parking', 'Table Service', 'Wheelchair Accessible']"
Starbucks,4.0,Free Wifi,['Cafe'],"['discovery mall', 'bali']","['Free Wifi', 'Outdoor Seating', 'Seating', 'Takeout', 'Wheelchair Accessible']",Kuta,['Western'],[],"['discovery mall', 'bali']","['Free Wifi', 'Outdoor Seating', 'Seating', 'Takeout', 'Wheelchair Accessible']"
Mia Mia's Kitchen,4.0,"we are a small family owned business,we have a Western,Indonesian or lokal food available in our kitchen","['International', 'Asian', 'Australian', 'Indonesian']","['spring rolls', 'beef', 'dish', 'sauce', 'crispy']","['Outdoor Seating', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout']",Kuta,['Asian'],[],"['spring rolls', 'beef', 'dish', 'sauce', 'crispy']","['Outdoor Seating', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout']"
Warung Muslim Gili Air,4.5,Outdoor Seating,"['Fast Food', 'Asian', 'Indonesian']",[],"['Outdoor Seating', 'Seating', 'Takeout']",Pemenang,['Asian'],[],[],"['Outdoor Seating', 'Seating', 'Takeout']"
Warung Dewi,4.5,Seating,"['Asian', 'Indonesian']",['great local food'],"['Seating', 'Takeout']",Pemenang,['Asian'],[],['great local food'],"['Seating', 'Takeout']"
Turtle Beach,4.0,Beach,"['International', 'Asian', 'Indonesian']",[],"['Beach', 'Free Wifi', 'Outdoor Seating', 'Seating', 'Serves Alcohol', 'Table Service']",Gili Air,['Asian'],[],[],"['Beach', 'Free Wifi', 'Outdoor Seating', 'Seating', 'Serves Alcohol', 'Table Service']"
Italian Job,4.0,Full Bar,"['Italian', 'Pizza', 'Indonesian']",[],"['Full Bar', 'Outdoor Seating', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout']",Pemenang,"['Asian', 'Western']",['Pizza'],[],"['Full Bar', 'Outdoor Seating', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout']"
Dream Divers Burger House Gili Trawangan,4.0,"The only Burger House on the Gilis, with beautiful Sea View and Mount Rinjani on Lombok. We offer a range of special Burgers; Try our new Green Veggie Burger, Brazilian Black Angus Burger, Japanese Wasabi Burger or Argentinian Drunk Burger 'El Gaucho'! To name a few... Of course also tasty Indonesian delights or Italian Pasta dishes are on our menu to tickle your tastebuds. Come and taste for yourself! We're open from 7am till 11pm!","['Bar', 'Cafe', 'Fast Food', 'International', 'Indonesian']","['burger', 'local food', 'island', 'beach', 'sea']","['Free Wifi', 'Outdoor Seating', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout', 'Waterfront', 'Wine and Beer']",Pemenang,"['Asian', 'Western']",[],"['burger', 'local food', 'island', 'beach', 'sea']","['Free Wifi', 'Outdoor Seating', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout', 'Waterfront', 'Wine and Beer']"
Tír na nÓg Restaurant,4.0,"Open since 2000, we've been providing a fun, safe and relaxed atmosphere within which to enjoy some great food and drinks. We have an extensive menu to cater for all your culinary desires, and the islands best cocktail menu. After our kitchen closes, we turn up the tempo, and have a DJ playing till close. On Wednesday nights it's our famous party, so don't miss out.","['Irish', 'Bar', 'International', 'Pub']","['burger', 'beef rendang', 'gili t', 'irish bar', 'island', 'chill']","['Free Wifi', 'Full Bar', 'Live Music', 'Outdoor Seating', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout', 'Television', 'Waterfront']",Gili Trawangan,['Other'],[],"['burger', 'beef rendang', 'gili t', 'irish bar', 'island', 'chill']","['Free Wifi', 'Full Bar', 'Live Music', 'Outdoor Seating', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout', 'Television', 'Waterfront']"
Eazy Gili Waroeng,4.0,Outdoor Seating,"['Asian', 'Indonesian']",[],"['Outdoor Seating', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout', 'Television']",Pemenang,['Asian'],[],[],"['Outdoor Seating', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout', 'Television']"
Bale Sampan Cafe,4.5,Free Wifi,['Cafe'],"['lunch', 'baguette', 'gili t', 'smoothies']","['Free Wifi', 'Outdoor Seating', 'Seating', 'Takeout']",Gili Trawangan,['Western'],[],"['lunch', 'baguette', 'gili t', 'smoothies']","['Free Wifi', 'Outdoor Seating', 'Seating', 'Takeout']"
Mirage Sunset Bar,4.5,Outdoor Seating,"['Bar', 'Indonesian']",[],"['Outdoor Seating', 'Seating', 'Serves Alcohol', 'Table Service']",Pemenang,['Asian'],[],[],"['Outdoor Seating', 'Seating', 'Serves Alcohol', 'Table Service']"
Felice's Vegetarian Restaurant,4.0,"This restaurant started with a mission: we want to share with the people who are in need. Many children are selling bracelets all week long on the beach. On Saturdays we prepare individual meals to feed these children. Through education and sustainable practice we want to improve the Kuta community together. 5-10% of our restaurants’ profit is donated to this purpose, helping the poorest people.","['Asian', 'Indonesian']",[],"['Reservations', 'Seating', 'Table Service', 'Takeout']",Kuta,['Asian'],[],[],"['Reservations', 'Seating', 'Table Service', 'Takeout']"
The Waroeng at Jeeva Klui,4.5,"In almost every culture, food is the center of daily life. The act of breaking bread transcends age, ethnicity, and status. It’s that very communal and convivial atmosphere that we deliberately designed at The Waroeng, the intimate yet enticing restaurant at Jeeva Klui resort.","['Southwestern', 'Indonesian']",[],"['Free Wifi', 'Outdoor Seating', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service']",Senggigi,['Asian'],[],[],"['Free Wifi', 'Outdoor Seating', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service']"
Rumah Makan Cahaya,4.0,Seating,"['Asian', 'Diner', 'Indonesian']",[],"['Seating', 'Table Service', 'Takeout']",Lombok,['Asian'],[],[],"['Seating', 'Table Service', 'Takeout']"
Warung Menega,3.5,Outdoor Seating,['Indonesian'],"['fish', 'set', 'beach', 'sand']","['Outdoor Seating', 'Parking Available', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout', 'Validated Parking', 'Waterfront']",Senggigi,['Asian'],[],"['fish', 'set', 'beach', 'sand']","['Outdoor Seating', 'Parking Available', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout', 'Validated Parking', 'Waterfront']"
Green Cafe,4.0,Outdoor Seating,"['Asian', 'Indonesian']",[],"['Outdoor Seating', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout']",Pemenang,['Asian'],[],[],"['Outdoor Seating', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout']"
Warung Plaza Senggigi,4.5,Clean Fresh & Healthy A Modern Indonesian Restaurant With Indoor ( Aircon ) & Outdoor ( Garden ) Serving Area Local Indonesian Food & Doner Kebab Drinks Comes From Our Bar Alcohol & Non-Alcoholic Welcome!,"['Asian', 'Indonesian']",[],"['Delivery', 'Free Wifi', 'Full Bar', 'Outdoor Seating', 'Parking Available', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout', 'Wine and Beer']",Senggigi,['Asian'],[],[],"['Delivery', 'Free Wifi', 'Full Bar', 'Outdoor Seating', 'Parking Available', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout', 'Wine and Beer']"
Yakaprì Restaurant,4.5,"Italian Restaurant, Oven wood pizza at Selong Belanak Our staff wait you for share our passion for italian food",['Fusion'],"['mahi mahi', 'pool', 'dessert']","['Accepts Credit Cards', 'Cash Only', 'Free off-street parking', 'Free Wifi', 'Outdoor Seating', 'Parking Available', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Validated Parking', 'Wheelchair Accessible', 'Wine and Beer']",Lombok,['Other'],[],"['mahi mahi', 'pool', 'dessert']","['Accepts Credit Cards', 'Cash Only', 'Free off-street parking', 'Free Wifi', 'Outdoor Seating', 'Parking Available', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Validated Parking', 'Wheelchair Accessible', 'Wine and Beer']"
Warung Sasak,4.0,Outdoor Seating,"['Asian', 'Indonesian']","['dish', 'island']","['Outdoor Seating', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout']",Pemenang,['Asian'],[],"['dish', 'island']","['Outdoor Seating', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout']"
H&R Resto,4.5,Seating,"['Asian', 'Indonesian']",[],"['Seating', 'Serves Alcohol', 'Table Service', 'Takeout']",Pemenang,['Asian'],[],[],"['Seating', 'Serves Alcohol', 'Table Service', 'Takeout']"
Little Italy,4.0,Delivery,"['Italian', 'Pizza']",[],"['Delivery', 'Free Wifi', 'Serves Alcohol', 'Table Service', 'Takeout', 'Wheelchair Accessible']",Pemenang,['Western'],['Pizza'],[],"['Delivery', 'Free Wifi', 'Serves Alcohol', 'Table Service', 'Takeout', 'Wheelchair Accessible']"
Thank You Bar & Resto,4.5,319/5000 Intan Inn Resto provides local cuisine and western cuisine. Intan Inn Resto is suitable for guests who to gili trawangan who want to enjoy food and drinks with relatively cheap price and do not drain your pocket. in diamond inn resto you can free wifi with your friends while drinking beer ..,"['Asian', 'Indonesian']",[],"['Outdoor Seating', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout', 'Wheelchair Accessible']",Pemenang,['Asian'],[],[],"['Outdoor Seating', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout', 'Wheelchair Accessible']"
Taliwang Khas Pak Udin,4.0,Seating,"['Asian', 'Indonesian']",[],"['Seating', 'Table Service', 'Takeout']",Mataram,['Asian'],[],[],"['Seating', 'Table Service', 'Takeout']"
Papaya Cafe and Restaurant,4.0,Accepts Credit Cards,"['Asian', 'Indonesian']",[],"['Accepts Credit Cards', 'Buffet', 'Delivery', 'Digital Payments', 'Free off-street parking', 'Free Wifi', 'Full Bar', 'Highchairs Available', 'Live Music', 'Outdoor Seating', 'Private Dining', 'Street Parking', 'Television', 'Wine and Beer']",Senggigi,['Asian'],[],[],"['Accepts Credit Cards', 'Buffet', 'Delivery', 'Digital Payments', 'Free off-street parking', 'Free Wifi', 'Full Bar', 'Highchairs Available', 'Live Music', 'Outdoor Seating', 'Private Dining', 'Street Parking', 'Television', 'Wine and Beer']"
Warung Grand Kuta Lombok,4.5,"We have european food,Mexico,asia,indonesian and local food,vegetarian. Fresh food,fresh drink,fresh seafoood. Free wifi. Local price.","['Mexican', 'Asian', 'Indonesian']",[],"['Buffet', 'Cash Only', 'Delivery', 'Free off-street parking', 'Free Wifi', 'Full Bar', 'Parking Available', 'Reservations', 'Seating', 'Serves Alcohol', 'Street Parking', 'Takeout', 'Wine and Beer']",Kuta,['Asian'],[],[],"['Buffet', 'Cash Only', 'Delivery', 'Free off-street parking', 'Free Wifi', 'Full Bar', 'Parking Available', 'Reservations', 'Seating', 'Serves Alcohol', 'Street Parking', 'Takeout', 'Wine and Beer']"
Warung Kampung,4.0,Reservations,"['European', 'Asian', 'Indonesian']",[],"['Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout']",Gili Air,"['Asian', 'Western']",[],[],"['Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout']"
Adeng Adeng Beach Bar,4.0,The Beach Bar is open from 07:00 until 22:00 (at least),"['International', 'Indonesian']","['pizza', 'beach', 'turtles']","['Accepts Credit Cards', 'Free Wifi', 'Full Bar', 'Mastercard', 'Outdoor Seating', 'Parking Available', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout', 'Visa', 'Wine and Beer']",Pemenang,['Asian'],[],"['pizza', 'beach', 'turtles']","['Accepts Credit Cards', 'Free Wifi', 'Full Bar', 'Mastercard', 'Outdoor Seating', 'Parking Available', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout', 'Visa', 'Wine and Beer']"
RM Ramayana,4.0,Establlished in 1976. We provide the best food and beverages in the city. Breakfast and Lunch in Ramayana is a must when you are visiting Lombok island. Find our location in Google Map.,"['Asian', 'Indonesian', 'Soups']",[],"['Accepts Credit Cards', 'Cash Only', 'Digital Payments', 'Free off-street parking', 'Mastercard', 'Parking Available', 'Seating', 'Street Parking', 'Table Service', 'Takeout', 'Visa']",Mataram,['Asian'],[],[],"['Accepts Credit Cards', 'Cash Only', 'Digital Payments', 'Free off-street parking', 'Mastercard', 'Parking Available', 'Seating', 'Street Parking', 'Table Service', 'Takeout', 'Visa']"
Hot Dogs Gili,4.0,"Take-away hot dog joint open till late. Sells hot dogs with a variety of toppings such as home-made chili con carne, pickles, cheese, bacon and the typical south american Italiano. Come and try our famous Dog Father and Mad Dog! Now offering Panini, Philly Cheese, Ace - blue cheese, steak, feta, jalapeños, avocado, sun-dried tomato, olives, basil, spinach, beef salami, etc.","['American', 'Fast Food', 'Chilean']",[],"['Cash Only', 'Takeout']",Pemenang,['Western'],[],[],"['Cash Only', 'Takeout']"
Ryan Cafe and Bar,4.0,Outdoor Seating,"['Italian', 'Cafe', 'European', 'Indonesian']",[],"['Outdoor Seating', 'Seating', 'Serves Alcohol', 'Table Service']",Gili Meno,"['Asian', 'Western']",[],[],"['Outdoor Seating', 'Seating', 'Serves Alcohol', 'Table Service']"
Samba Villas Beach Restaurant,4.0,Accepts Credit Cards,"['Steakhouse', 'Bar', 'International', 'Asian', 'Indonesian']",[],"['Accepts Credit Cards', 'Beach', 'Free Wifi', 'Full Bar', 'Outdoor Seating', 'Parking Available', 'Reservations', 'Seating', 'Serves Alcohol', 'Street Parking', 'Table Service', 'Wine and Beer']",Gili Trawangan,"['Asian', 'Western']",[],[],"['Accepts Credit Cards', 'Beach', 'Free Wifi', 'Full Bar', 'Outdoor Seating', 'Parking Available', 'Reservations', 'Seating', 'Serves Alcohol', 'Street Parking', 'Table Service', 'Wine and Beer']"
Dua EM,4.0,Reservations,"['Asian', 'Indonesian']",[],"['Reservations', 'Seating', 'Table Service', 'Takeout']",Mataram,['Asian'],[],[],"['Reservations', 'Seating', 'Table Service', 'Takeout']"
Ruby's @ The Beach Club,4.0,"A beautiful restaurant on the South Beach of Gili Air with the only swimming area on a Sand Beachfront, The restaurant was built amongst the trees to create a beautiful cool experience, an extensive menu with something for everyone from Local fare to International favorites, the Coldest Beer, Cool Drinks, Cocktails and Juices, Great Coffee and plenty of area to Chill Out and Relax.","['International', 'Indonesian']",[],['Takeout'],Gili Air,['Asian'],[],[],['Takeout']
Matahari Cafe Lombok,4.0,Unknown,"['Mexican', 'European', 'Asian', 'Thai', 'Indonesian']",[],"['Cash Only', 'Delivery', 'Free off-street parking', 'Free Wifi', 'Full Bar', 'Live Music', 'Parking Available', 'Reservations', 'Seating', 'Serves Alcohol', 'Street Parking', 'Takeout', 'Television', 'Wheelchair Accessible', 'Wine and Beer']",Senggigi,"['Asian', 'Western']",[],[],"['Cash Only', 'Delivery', 'Free off-street parking', 'Free Wifi', 'Full Bar', 'Live Music', 'Parking Available', 'Reservations', 'Seating', 'Serves Alcohol', 'Street Parking', 'Takeout', 'Television', 'Wheelchair Accessible', 'Wine and Beer']"
Basilico Authentic Italian Restaurant,3.5,"Basilico Restaurant at Kila Senggigi Beach Lombok serve most Italian food, beside Asian,Europe and Indonesian food. Location direct to the beach and sunset point. This place is suitable to enjoy your romantic dinner with your partner","['Italian', 'Pizza', 'Indonesian']",[],"['Accepts Credit Cards', 'American Express', 'Cash Only', 'Free Wifi', 'Full Bar', 'Live Music', 'Mastercard', 'Outdoor Seating', 'Parking Available', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout', 'Validated Parking', 'Visa', 'Wheelchair Accessible', 'Wine and Beer']",Senggigi,"['Asian', 'Western']",['Pizza'],[],"['Accepts Credit Cards', 'American Express', 'Cash Only', 'Free Wifi', 'Full Bar', 'Live Music', 'Mastercard', 'Outdoor Seating', 'Parking Available', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout', 'Validated Parking', 'Visa', 'Wheelchair Accessible', 'Wine and Beer']"
Warna Beach Restaurant,3.5,"Warna Beach Bar and Resto in Gili Trawangan, Located in the Central of Gili Trawangan right on the beach. It is very easy accessible whereas.","['Pizza', 'Barbecue', 'Indonesian']",['nice food and drinks'],"['Cash Only', 'Free Wifi', 'Full Bar', 'Live Music', 'Outdoor Seating', 'Reservations', 'Seating', 'Serves Alcohol', 'Street Parking', 'Table Service', 'Takeout']",Gili Trawangan,"['Asian', 'Western']","['Pizza', 'Barbecue']",['nice food and drinks'],"['Cash Only', 'Free Wifi', 'Full Bar', 'Live Music', 'Outdoor Seating', 'Reservations', 'Seating', 'Serves Alcohol', 'Street Parking', 'Table Service', 'Takeout']"
Ayam Taliwang Raya,4.0,Reservations,"['Asian', 'Indonesian']",[],"['Reservations', 'Seating', 'Takeout']",Mataram,['Asian'],[],[],"['Reservations', 'Seating', 'Takeout']"
Cafe Gili Trawangan,3.5,"Cafe Gili Trawangan is located on the coast that has the widest beach on Gili Trawangan and incredible panoramic views, we can see the Rinjani mountain, Gili Meno, Lombok Island while sunbathing",['French'],[],"['Reservations', 'Waterfront']",Gili Trawangan,['Western'],[],[],"['Reservations', 'Waterfront']"
